 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC      Illu%  Ang-diam                r        rdot             delta      deldot     S-O-T /r     S-T-O  App_Lon_Sun
******************************************************************************************************************************************************************
$$SOE
 2013-May-07 00:00     02 38 49.57 +15 16 22.0   99.93035  3.817724   1.448970121342   2.0138423  2.45311068808655   1.5302644    4.3384 /L    3.0189  314.0284091
 2013-May-08 00:00     02 41 43.23 +15 30 25.1   99.92283  3.816370   1.450136172648   2.0240763  2.45398102397953   1.4835434    4.5699 /L    3.1780  314.6048945
 2013-May-09 00:00     02 44 37.09 +15 44 18.7   99.91492  3.815059   1.451308071110   2.0340899  2.45482417029134   1.4361248    4.8019 /L    3.3373  315.1804515
 2013-May-10 00:00     02 47 31.13 +15 58 02.7   99.90661  3.813792   1.452485689384   2.0438829  2.45563975110534   1.3881010    5.0344 /L    3.4967  315.7550780
 2013-May-11 00:00     02 50 25.36 +16 11 36.9   99.89792  3.812569   1.453668900107   2.0534555  2.45642744204608   1.3395577    5.2675 /L    3.6563  316.3287717
 2013-May-12 00:00     02 53 19.78 +16 25 01.2   99.88883  3.811391   1.454857575921   2.0628075  2.45718696557729   1.2905712    5.5010 /L    3.8159  316.9015303
 2013-May-13 00:00     02 56 14.38 +16 38 15.6   99.87934  3.810257   1.456051589482   2.0719391  2.45791808553101   1.2412084    5.7350 /L    3.9756  317.4733521
 2013-May-14 00:00     02 59 09.17 +16 51 19.8   99.86947  3.809168   1.457250813490   2.0808503  2.45862060155854   1.1915266    5.9696 /L    4.1354  318.0442352
 2013-May-15 00:00     03 02 04.14 +17 04 13.8   99.85920  3.808125   1.458455120702   2.0895412  2.45929434416408   1.1415755    6.2045 /L    4.2952  318.6141778
 2013-May-16 00:00     03 04 59.30 +17 16 57.5   99.84855  3.807127   1.459664383957   2.0980120  2.45993917078717   1.0913992    6.4400 /L    4.4551  319.1831784
 2013-May-17 00:00     03 07 54.63 +17 29 30.8   99.83750  3.806174   1.460878476186   2.1062629  2.46055496306467   1.0410377    6.6759 /L    4.6150  319.7512355
 2013-May-18 00:00     03 10 50.15 +17 41 53.5   99.82605  3.805267   1.462097270436   2.1142941  2.46114162495855   0.9905282    6.9123 /L    4.7750  320.3183478
 2013-May-19 00:00     03 13 45.85 +17 54 05.5   99.81422  3.804405   1.463320639882   2.1221058  2.46169908090030   0.9399042    7.1492 /L    4.9351  320.8845139
